MGMT_SW_NAME,MGMT_SW_IP,port,description,switchport_mode,vlan,spanning_tree,Comments
DC1-A12-MGMT-SW1,10.151.39.111,11,DC1-CDE-PART-SW1/FastEthernet1[WS-C4948E|CAT1728S2DQ]@DC1-B12/RU44,access,7,portfast,CM-19365
DC1-A12-MGMT-SW1,10.151.39.111,12,DC1-CDE-PART-SW2/FastEthernet1[WS-C4948E|CAT1728S2D2]@DC1-B12/RU45,access,7,portfast,CM-19365
DC1-B12-MGMT-SW2,10.151.39.112,15,DC1-VIPRION-01/Blade4MGMT[A113(BIG-IPVPR-B2150)|CHS404887S]@DC1-B13/RU23-26,access,7,portfast,CM-19365
DC1-B12-MGMT-SW2,10.151.39.112,16,DC1-VIPRION-02/Blade4MGMT[A113(BIG-IPVPR-B2150)|CHS404886S]@DC1-B14/RU23-26,access,7,portfast,CM-19365
DC1-A12-MGMT-SW1,10.151.39.111,17,DC1-CDE-INET-RTR1/GigabitEthernet0[ASR1006|FXS1717Q4L0]@DC1-B11/RU1-6,access,7,portfast,CM-19365
DC1-A12-MGMT-SW1,10.151.39.111,19,DC1-CDE-INET-RTR2/GigabitEthernet0[ASR1006|FXS1717Q4KJ]@DC1-B11/RU7-12,access,7,portfast,CM-19365
DC1-A12-MGMT-SW1,10.151.39.111,23,DC1-PART-WAN-RTR1/GigabitEthernet0[ASR1006|FXS1723Q346]@DC1-B12/RU1-6,access,7,portfast,CM-19365
DC1-A12-MGMT-SW1,10.151.39.111,27,DC1-CDE-INET-FW1/management[ASA5555-X|FGL1732412R]@DC1-B11/RU21,access,7,portfast,CM-19365
DC1-B12-MGMT-SW2,10.151.39.112,28,DC1-CDE-INET-FW2/management[ASA5555-X|FTX2107W18B]@DC1-B11/RU22,access,7,portfast,CM-19365
DC1-A12-MGMT-SW1,10.151.39.111,31,DC1-CDE-CORP-FW1/management[ASA5585-X|JAD173104NY]@DC1-A12/RU8-9,access,7,portfast,CM-19365
DC1-B12-MGMT-SW2,10.151.39.112,32,DC1-CDE-CORP-FW2/management[ASA5585-X|JAF1511ABJH]@DC1-A12/RU10-11,access,7,portfast,CM-19365
DC1-A12-MGMT-SW1,10.151.39.111,33,DC1-CDE-PART-FW1/management[ASA5585-X|JAD173104LH]@DC1-B12/RU15,access,7,portfast,CM-19365
DC1-A12-MGMT-SW1,10.151.39.111,35,DC1-VIPRION-01/BLA1mgmt[A113(BIG-IPVPR-B2150)|CHS404887S]@DC1-B13/RU23-26,access,7,portfast,CM-19365
DC1-B12-MGMT-SW2,10.151.39.112,36,DC1-VIPRION-01/BLA2mgmt[A113(BIG-IPVPR-B2150)|CHS404887S]@DC1-B13/RU23-26,access,7,portfast,CM-19365
DC1-A12-MGMT-SW1,10.151.39.111,37,DC1-VIPRION-01/BLA3mgmt[A113(BIG-IPVPR-B2150)|CHS404887S]@DC1-B13/RU23-26,access,7,portfast,CM-19365
DC1-A12-MGMT-SW1,10.151.39.111,38,DC1-VIPRION-02/BLA1mgmt[A113(BIG-IPVPR-B2150)|CHS404886S]@DC1-B14/RU23-26,access,7,portfast,CM-19365
DC1-B12-MGMT-SW2,10.151.39.112,39,DC1-VIPRION-02/BLA2mgmt[A113(BIG-IPVPR-B2150)|CHS404886S]@DC1-B14/RU23-26,access,7,portfast,CM-19365
DC1-A12-MGMT-SW1,10.151.39.111,40,DC1-VIPRION-02/BLA3mgmt[A113(BIG-IPVPR-B2150)|CHS404886S]@DC1-B14/RU23-26,access,7,portfast,CM-19365
DC1-A12-MGMT-SW1,10.151.39.111,36,DC1ASM01/mgmt[C115(BIG-IPi4800)|F5-YVJX-UKGK]@DC1-B08/RU40,access,7,portfast,CM-19365
DC1-A12-MGMT-SW1,10.151.39.111,39,DC1ASM02/mgmt[C115(BIG-IPi4800)|F5-RKOX-UFWD]@DC1-B08/RU39,access,7,portfast,CM-19365